Date,,,,Close,,,,,
5/14/2020,,,,170.01,,,,,
5/15/2020,,,,172.15,,,,,
5/18/2020,,,,175.85,,,,,
5/19/2020,,,,175.13,,,,,
5/20/2020,,,,179.85,,,,,
5/21/2020,,,,179.04,,,,,
5/22/2020,,,,179.85,,,,,
5/26/2020,,,,180.36,,,,,
5/27/2020,,,,181.35,,,,,
5/28/2020,,,,179.62,,,,,
5/29/2020,,,,180.89,,,,,
6/1/2020,,,,182.34,,,,,
6/2/2020,,,,183.23,,,,,
6/3/2020,,,,183.62,,,,,
6/4/2020,,,,182.14,,,,,
6/5/2020,,,,185.2,,,,,
6/8/2020,,,,187.28,,,,,
6/9/2020,,,,187.61,,,,,
6/10/2020,,,,187.13,,,,,
6/11/2020,,,,178.44,,,,,
6/12/2020,,,,180.02,,,,,
6/15/2020,,,,181.82,,,,,
6/16/2020,,,,184.03,,,,,
6/17/2020,,,,184.17,,,,,
6/18/2020,,,,184.15,,,,,
6/19/2020,,,,183.56,,,,,
6/22/2020,,,,184.51,,,,,
6/23/2020,,,,185.65,,,,,
6/24/2020,,,,181.1,,,,,
6/25/2020,,,,182.14,,,,,
6/26/2020,,,,173.97,,,,,
6/29/2020,,,,177.53,,,,,
6/30/2020,,,,179.88,,,,,
7/1/2020,,,,183.9,,,,,
7/2/2020,,,,183.78,,,,,
7/6/2020,,,,187.73,,,,,
7/7/2020,,,,187.03,,,,,
7/8/2020,,,,188.77,,,,,
7/9/2020,,,,188.7,,,,,
7/10/2020,,,,192.39,,,,,
7/13/2020,,,,188.61,,,,,
7/14/2020,,,,190.31,,,,,
7/15/2020,,,,190.86,,,,,
7/16/2020,,,,191.43,,,,,
7/17/2020,,,,190.61,,,,,
7/20/2020,,,,192.99,,,,,
7/21/2020,,,,192.2,,,,,
7/22/2020,,,,192.28,,,,,
7/23/2020,,,,188.54,,,,,
7/24/2020,,,,188.43,,,,,
7/27/2020,,,,189.9,,,,,
7/28/2020,,,,188.15,,,,,
7/29/2020,,,,189.62,,,,,
7/30/2020,,,,190.22,,,,,
7/31/2020,,,,191.69,,,,,
8/3/2020,,,,191.64,,,,,
8/4/2020,,,,192.29,,,,,
8/5/2020,,,,192.76,,,,,
8/6/2020,,,,197.49,,,,,
8/7/2020,,,,197.39,,,,,
8/10/2020,,,,196.49,,,,,
8/11/2020,,,,193.93,,,,,
8/12/2020,,,,196.35,,,,,
8/13/2020,,,,197.09,,,,,
8/14/2020,,,,196.89,,,,,
8/17/2020,,,,197.08,,,,,
8/18/2020,,,,199.23,,,,,
8/19/2020,,,,198.34,,,,,
8/20/2020,,,,201.06,,,,,
8/21/2020,,,,200.3,,,,,
8/24/2020,,,,202.42,,,,,
8/25/2020,,,,204.38,,,,,
8/26/2020,,,,211.97,,,,,
8/27/2020,,,,209.23,,,,,
8/28/2020,,,,209.9,,,,,
8/31/2020,,,,209.04,,,,,
9/1/2020,,,,211.21,,,,,
9/2/2020,,,,215.83,,,,,
9/3/2020,,,,208.61,,,,,
9/4/2020,,,,204.6,,,,,
9/8/2020,,,,199.68,,,,,
9/9/2020,,,,201.51,,,,,
9/10/2020,,,,198.34,,,,,
9/11/2020,,,,197.76,,,,,
9/14/2020,,,,198.02,,,,,
9/15/2020,,,,201.42,,,,,
9/16/2020,,,,198.99,,,,,
9/17/2020,,,,195.34,,,,,
9/18/2020,,,,193.19,,,,,
9/21/2020,,,,190.89,,,,,
9/22/2020,,,,194.47,,,,,
9/23/2020,,,,189.25,,,,,
9/24/2020,,,,190,,,,,
9/25/2020,,,,192.42,,,,,
9/28/2020,,,,194.71,,,,,
9/29/2020,,,,195.26,,,,,
9/30/2020,,,,195.49,,,,,
10/1/2020,,,,198.17,,,,,
10/2/2020,,,,194.22,,,,,
10/5/2020,,,,197.38,,,,,
10/6/2020,,,,193.47,,,,,
10/7/2020,,,,195.17,,,,,
10/8/2020,,,,197.05,,,,,
10/9/2020,,,,198.57,,,,,
10/12/2020,,,,203.37,,,,,
10/13/2020,,,,204.07,,,,,
10/14/2020,,,,201.66,,,,,
10/15/2020,,,,200.34,,,,,
10/16/2020,,,,200.36,,,,,
10/19/2020,,,,196.61,,,,,
10/20/2020,,,,198.19,,,,,
10/21/2020,,,,200.74,,,,,
10/22/2020,,,,202.44,,,,,
